Time,l_per,l_abs,b_per,b_abs,covered_times_of_line
1776419369,18.3,871,11.8,286,0
1776419372,31.1,1478,23.9,580,0
1776419375,32.8,1560,25.9,628,0
1776419378,33.4,1587,26.5,643,0
1776419381,34.6,1647,27.5,668,0
1776419384,34.9,1659,27.7,672,0
1776419387,35.3,1677,27.9,678,0
1776419390,35.5,1689,28.3,687,0
1776419393,37.6,1789,30.3,736,0
1776419396,37.7,1794,30.5,740,0
1776419399,37.8,1799,30.7,746,0
1776419402,37.9,1802,31.0,753,0
1776419405,38.1,1811,31.3,760,0
1776419408,38.1,1814,31.3,761,0
1776419411,38.3,1822,31.4,763,0
1776419414,38.4,1828,31.8,771,0
1776419418,38.9,1852,32.4,787,0
1776419421,39.1,1859,32.6,791,0
1776419424,39.2,1867,32.7,794,0
1776419427,39.3,1868,32.8,796,0
1776419430,39.3,1870,32.8,797,0
1776419434,39.3,1870,32.8,797,0
1776419438,39.3,1870,32.8,797,0
1776419441,39.4,1872,32.9,799,0
1776419445,39.4,1873,32.9,800,0
1776419448,39.6,1885,33.3,808,0
1776419451,39.6,1886,33.3,809,0
1776419455,39.7,1890,33.4,810,0
1776419458,39.7,1890,33.4,810,0
1776419462,39.7,1890,33.4,810,0
1776419465,39.7,1890,33.4,810,0
1776419470,39.9,1900,33.4,811,0
1776419473,40.0,1902,33.5,814,0
1776419478,40.0,1902,33.6,816,0
1776419481,40.0,1902,33.6,816,0
1776419485,40.9,1946,34.3,834,0
1776419489,40.9,1946,34.3,834,0
1776419493,41.1,1956,34.6,839,0
1776419496,41.1,1956,34.6,839,0
1776419499,41.3,1965,34.7,842,0
1776419514,41.6,1978,35.2,854,0
1776419517,41.6,1978,35.2,854,0
1776419520,42.7,2033,36.1,876,0
1776419525,42.8,2035,36.1,877,0
1776419530,42.8,2035,36.1,877,0
1776419534,42.8,2035,36.1,877,0
1776419537,42.9,2040,36.2,880,0
1776419541,43.5,2070,37.2,903,0
1776419544,43.8,2084,37.4,909,0
1776419548,44.1,2097,37.6,914,0
1776419553,44.1,2097,37.6,914,0
1776419558,44.1,2097,37.6,914,0
1776419565,44.2,2103,37.9,921,0
1776419568,44.2,2103,37.9,921,0
1776419571,44.2,2103,37.9,921,0
1776419574,44.2,2104,38.1,925,0
1776419577,44.3,2106,38.2,927,0
1776419580,44.3,2106,38.2,927,0
1776419611,44.3,2106,38.2,927,0
1776419614,44.3,2106,38.2,927,0
1776419621,44.3,2106,38.2,927,0
1776419624,44.3,2106,38.2,927,0
1776419629,44.3,2107,38.3,929,0
1776419632,44.3,2107,38.3,929,0
1776419636,44.3,2107,38.3,931,0
1776419641,44.3,2107,38.3,931,0
1776419644,44.3,2107,38.3,931,0
1776419648,44.3,2108,38.4,932,0
1776419651,44.4,2110,38.5,935,0
1776419654,44.4,2111,38.6,936,0
1776419657,44.4,2111,38.6,938,0
1776419702,44.4,2111,38.6,938,0
1776419706,44.4,2111,38.6,938,0
1776419709,44.4,2111,38.7,939,0
1776419712,44.4,2113,38.8,943,0
1776419715,44.4,2113,38.8,943,0
1776419718,44.4,2113,38.8,943,0
1776419721,44.4,2113,38.8,943,0
1776419726,44.4,2113,38.8,943,0
1776419730,44.4,2113,38.9,944,0
1776419733,44.4,2113,38.9,944,0
1776419736,44.4,2113,38.9,944,0
1776419744,44.4,2113,38.9,944,0
1776419747,44.5,2115,38.9,945,0
1776419752,44.5,2115,39.0,946,0
1776419759,44.5,2115,39.0,946,0
1776419762,44.5,2115,39.0,946,0
1776419766,44.6,2120,39.0,948,0
1776419769,44.6,2120,39.0,948,0
1776419773,44.6,2120,39.0,948,0
1776419779,44.6,2120,39.0,948,0
1776419782,44.6,2120,39.0,948,0
1776419785,44.6,2120,39.1,949,0
1776419788,44.6,2120,39.1,949,0
1776419791,44.6,2120,39.1,949,0
1776419794,44.6,2120,39.1,949,0
1776419797,44.6,2120,39.1,949,0
1776419800,44.6,2120,39.1,949,0
1776419804,44.6,2120,39.1,949,0
1776419807,44.6,2120,39.1,949,0
1776419810,44.6,2120,39.1,949,0
1776419813,44.6,2120,39.1,949,0
1776419817,44.6,2120,39.1,949,0
1776419821,44.6,2120,39.1,949,0
1776419825,44.6,2120,39.1,949,0
1776419832,44.6,2120,39.1,949,0
1776419836,44.6,2120,39.1,949,0
1776419840,44.6,2120,39.1,949,0
1776419844,44.6,2120,39.1,949,0
1776419847,44.6,2120,39.1,949,0
1776419850,44.6,2120,39.1,949,0
1776419853,44.6,2120,39.1,949,0
1776419856,44.6,2120,39.1,949,0
1776419868,44.6,2120,39.1,949,0
1776419871,44.6,2120,39.1,949,0
1776419874,44.6,2120,39.1,949,0
1776419877,44.6,2120,39.1,949,0
1776419883,44.6,2120,39.1,949,0
1776419889,44.6,2120,39.1,949,0
1776419892,44.6,2120,39.1,949,0
1776419895,44.6,2120,39.1,949,0
1776419903,44.6,2120,39.1,949,0
1776419907,44.6,2120,39.1,949,0
1776419911,44.6,2120,39.1,949,0
1776419914,44.6,2120,39.1,949,0
1776419918,44.6,2120,39.1,949,0
1776419923,44.6,2120,39.1,949,0
1776419926,44.6,2120,39.1,949,0
1776419932,44.6,2120,39.1,949,0
1776419935,44.6,2120,39.1,949,0
1776419942,44.6,2120,39.1,949,0
1776419947,44.6,2120,39.1,949,0
1776419951,44.6,2120,39.1,949,0
1776419958,44.6,2120,39.1,949,0
1776419964,44.6,2120,39.1,949,0
1776419967,44.6,2120,39.1,949,0
1776419973,44.6,2120,39.1,949,0
1776419982,44.9,2134,39.3,955,0
1776419985,44.9,2134,39.3,955,0
1776419991,44.9,2134,39.3,955,0
1776419997,44.9,2135,39.4,957,0
1776420001,44.9,2135,39.4,957,0
1776420007,44.9,2135,39.4,957,0
1776420011,44.9,2135,39.4,957,0
1776420015,44.9,2135,39.4,957,0
1776420018,44.9,2135,39.4,957,0
1776420021,44.9,2136,39.5,958,0
1776420025,44.9,2136,39.5,958,0
1776420028,44.9,2136,39.5,958,0
1776420031,44.9,2136,39.5,958,0
1776420034,44.9,2137,39.5,959,0
1776420037,44.9,2137,39.5,959,0
1776420040,44.9,2137,39.5,959,0
1776420043,44.9,2137,39.5,959,0
1776420046,44.9,2137,39.5,959,0
1776420049,44.9,2137,39.5,959,0
1776420052,44.9,2137,39.5,959,0
1776420056,44.9,2137,39.5,959,0
1776420059,44.9,2137,39.5,959,0
1776420062,44.9,2137,39.5,959,0
1776420067,44.9,2137,39.5,959,0
1776420074,44.9,2137,39.5,960,0
1776420079,44.9,2137,39.5,960,0
1776420083,44.9,2137,39.5,960,0
1776420091,44.9,2137,39.5,960,0
1776420095,44.9,2137,39.5,960,0
1776420104,44.9,2137,39.5,960,0
1776420107,44.9,2137,39.5,960,0
1776420110,44.9,2137,39.5,960,0
1776420114,44.9,2137,39.5,960,0
1776420117,44.9,2137,39.5,960,0
1776420120,44.9,2137,39.5,960,0
1776420123,44.9,2137,39.5,960,0
1776420127,44.9,2137,39.5,960,0
1776420134,44.9,2137,39.5,960,0
1776420137,44.9,2137,39.5,960,0
1776420144,44.9,2137,39.5,960,0
1776420149,44.9,2137,39.5,960,0
1776420153,44.9,2137,39.5,960,0
1776420156,44.9,2137,39.5,960,0
1776420180,45.0,2140,39.6,962,0
1776420183,45.0,2140,39.6,962,0
1776420189,45.0,2140,39.6,962,0
1776420192,45.0,2140,39.6,962,0
1776420198,45.1,2145,39.7,965,0
1776420214,45.1,2145,39.7,965,0
1776420219,45.1,2145,39.7,965,0
1776420222,45.1,2145,39.7,965,0
1776420225,45.1,2145,39.7,965,0
1776420229,45.1,2145,39.7,965,0
1776420232,45.1,2145,39.7,965,0
1776420235,45.1,2145,39.7,965,0
1776420238,45.1,2145,39.7,965,0
1776420247,45.1,2145,39.7,965,0
1776420251,45.1,2145,39.7,965,0
1776420255,45.1,2145,39.7,965,0
1776420258,45.1,2145,39.7,965,0
1776420261,45.1,2145,39.7,965,0
1776420264,45.1,2145,39.7,965,0
1776420275,45.1,2145,39.7,965,0
1776420283,45.1,2145,39.7,965,0
1776420286,45.1,2145,39.7,965,0
1776420289,45.1,2145,39.7,965,0
1776420294,45.1,2145,39.7,965,0
1776420297,45.1,2145,39.7,965,0
1776420300,45.1,2145,39.7,965,0
1776420304,45.1,2145,39.7,965,0
1776420313,45.1,2145,39.7,965,0
1776420321,45.1,2145,39.7,965,0
1776420325,45.1,2145,39.7,965,0
1776420329,45.1,2145,39.7,965,0
1776420341,45.1,2145,39.7,965,0
1776420344,45.1,2145,39.7,965,0
1776420347,45.1,2145,39.7,965,0
1776420350,45.1,2145,39.7,965,0
1776420354,45.1,2145,39.7,965,0
1776420358,45.1,2145,39.7,965,0
1776420361,45.1,2145,39.7,965,0
1776420364,45.1,2145,39.7,965,0
1776420367,45.1,2145,39.7,965,0
1776420370,45.1,2145,39.7,965,0
1776420373,45.1,2145,39.7,965,0
1776420378,45.4,2160,40.0,970,0
1776420382,45.4,2161,40.0,971,0
1776420385,45.4,2161,40.0,971,0
1776420389,45.4,2161,40.0,971,0
1776420392,45.4,2161,40.0,971,0
1776420395,45.4,2161,40.0,971,0
1776420398,45.4,2161,40.0,971,0
1776420403,45.4,2161,40.0,971,0
1776420406,45.6,2167,40.0,972,0
1776420410,45.6,2167,40.0,972,0
1776420413,45.6,2167,40.0,972,0
1776420416,45.6,2167,40.0,972,0
1776420419,45.6,2167,40.0,972,0
1776420422,45.6,2167,40.0,972,0
1776420426,45.6,2167,40.0,972,0
1776420430,45.6,2167,40.0,972,0
1776420434,45.6,2167,40.0,972,0
1776420440,45.6,2167,40.0,972,0
1776420443,45.6,2167,40.1,973,0
1776420447,45.6,2167,40.1,973,0
1776420454,45.6,2167,40.1,973,0
1776420458,45.6,2167,40.1,973,0
1776420461,45.6,2167,40.1,973,0
1776420464,45.6,2167,40.1,973,0
1776420469,45.6,2167,40.1,973,0
1776420472,45.6,2167,40.1,973,0
1776420475,45.6,2167,40.1,973,0
1776420480,45.6,2167,40.1,973,0
1776420483,45.6,2167,40.1,973,0
1776420486,45.6,2167,40.1,973,0
1776420492,45.6,2167,40.1,973,0
1776420495,45.6,2167,40.1,973,0
1776420502,45.6,2167,40.1,973,0
1776420505,45.6,2167,40.1,973,0
1776420508,45.6,2167,40.1,973,0
1776420512,45.6,2167,40.1,973,0
1776420518,45.6,2167,40.1,973,0
1776420531,45.6,2167,40.1,973,0
1776420534,45.6,2167,40.1,973,0
1776420538,45.6,2167,40.1,973,0
1776420542,45.6,2167,40.1,973,0
1776420545,45.6,2167,40.1,973,0
1776420556,45.6,2167,40.1,973,0
1776420567,45.6,2167,40.1,973,0
1776420570,45.6,2167,40.1,973,0
1776420581,45.6,2167,40.1,973,0
1776420584,45.6,2167,40.1,973,0
1776420587,45.6,2167,40.1,973,0
1776420590,45.6,2167,40.1,973,0
1776420593,45.6,2167,40.1,973,0
1776420596,45.6,2167,40.1,973,0
1776420601,45.6,2167,40.1,973,0
1776420606,45.6,2167,40.1,973,0
1776420610,45.6,2167,40.1,973,0
1776420613,45.6,2167,40.1,973,0
1776420621,45.6,2167,40.1,973,0
1776420624,45.6,2168,40.1,974,0
1776420628,45.6,2168,40.1,974,0
1776420631,45.6,2168,40.1,974,0
1776420634,45.6,2168,40.1,974,0
1776420644,45.6,2168,40.1,974,0
1776420649,45.6,2168,40.1,974,0
1776420652,45.6,2168,40.1,974,0
1776420655,45.6,2168,40.1,974,0
1776420658,45.6,2168,40.1,974,0
1776420661,45.6,2168,40.1,974,0
1776420664,45.6,2168,40.1,974,0
1776420667,45.6,2168,40.1,974,0
1776420670,45.6,2168,40.1,974,0
1776420675,45.6,2168,40.1,974,0
1776420678,45.6,2168,40.1,974,0
1776420681,45.6,2168,40.2,975,0
1776420685,45.6,2168,40.2,975,0
1776420688,45.6,2168,40.2,975,0
1776420692,45.6,2168,40.2,975,0
1776420695,45.6,2168,40.2,975,0
1776420698,45.6,2168,40.2,975,0
1776420701,45.6,2168,40.2,975,0
1776420704,45.6,2168,40.2,975,0
1776420708,45.6,2168,40.2,975,0
1776420711,45.6,2168,40.2,975,0
1776420714,45.6,2168,40.2,975,0
1776420717,45.6,2168,40.2,975,0
1776420720,45.6,2168,40.2,975,0
1776420723,45.6,2168,40.2,975,0
1776420726,45.6,2168,40.2,975,0
1776420730,45.6,2168,40.2,975,0
1776420733,45.6,2168,40.2,975,0
1776420736,45.6,2168,40.2,975,0
1776420739,45.6,2168,40.2,975,0
1776420742,45.6,2168,40.2,975,0
1776420745,45.6,2168,40.2,975,0
1776420750,45.6,2168,40.2,975,0
1776420753,45.6,2168,40.2,975,0
1776420756,45.6,2168,40.2,975,0
1776420759,45.6,2168,40.2,975,0
1776420762,45.6,2168,40.2,975,0
1776420765,45.6,2168,40.2,975,0
1776420769,45.6,2168,40.2,975,0
1776420772,45.6,2168,40.2,975,0
1776420775,45.6,2168,40.2,975,0
1776420781,45.6,2168,40.2,975,0
1776420785,45.6,2168,40.2,975,0
1776420788,45.6,2168,40.2,975,0
1776420791,45.6,2168,40.2,975,0
1776420794,45.6,2168,40.2,975,0
1776420798,45.6,2168,40.2,975,0
1776420801,45.6,2168,40.2,975,0
1776420804,45.6,2168,40.2,975,0
1776420807,45.6,2168,40.2,975,0
1776420810,45.6,2168,40.2,975,0
1776420815,45.6,2168,40.2,975,0
1776420818,45.6,2168,40.2,975,0
1776420821,45.6,2168,40.2,975,0
1776420824,45.6,2168,40.2,975,0
1776420827,45.6,2168,40.2,975,0
1776420831,45.6,2168,40.2,975,0
1776420834,45.6,2168,40.2,975,0
1776420837,45.6,2168,40.2,975,0
1776420840,45.6,2168,40.2,975,0
1776420847,45.6,2168,40.2,975,0
1776420858,45.6,2168,40.2,975,0
1776420862,45.6,2168,40.2,975,0
1776420867,45.6,2168,40.2,975,0
1776420870,45.6,2168,40.2,975,0
1776420873,45.6,2168,40.2,975,0
1776420876,45.6,2168,40.2,975,0
1776420879,45.6,2168,40.2,975,0
1776420882,45.6,2168,40.2,975,0
1776420885,45.6,2168,40.2,975,0
1776420888,45.6,2168,40.2,975,0
1776420893,45.6,2168,40.2,975,0
1776420896,45.6,2168,40.2,975,0
1776420899,45.6,2168,40.2,975,0
1776420904,45.6,2168,40.2,975,0
1776420907,45.6,2168,40.2,975,0
1776420910,45.6,2168,40.2,975,0
1776420913,45.6,2168,40.2,975,0
1776420916,45.6,2168,40.2,975,0
1776420919,45.6,2168,40.2,975,0
1776420922,45.6,2168,40.2,975,0
1776420926,45.6,2168,40.2,975,0
1776420930,45.6,2168,40.2,975,0
1776420933,45.6,2168,40.2,975,0
1776420937,45.6,2168,40.2,975,0
1776420940,45.6,2168,40.2,975,0
1776420943,45.6,2168,40.2,975,0
1776420946,45.6,2168,40.2,975,0
1776420949,45.6,2168,40.2,975,0
1776420952,45.6,2168,40.2,975,0
1776420955,45.6,2168,40.2,975,0
1776420958,45.6,2168,40.2,975,0
1776420961,45.6,2168,40.2,975,0
1776420964,45.6,2168,40.2,975,0
1776420967,45.6,2168,40.2,975,0
1776420970,45.6,2168,40.2,975,0
1776420973,45.6,2168,40.2,975,0
1776420976,45.6,2168,40.2,975,0
1776420984,45.6,2168,40.2,975,0
1776420989,45.6,2168,40.2,975,0
1776420992,45.6,2168,40.2,975,0
1776421001,45.6,2169,40.2,976,0
1776421004,45.6,2169,40.2,976,0
1776421008,45.6,2169,40.2,976,0
1776421012,45.6,2169,40.2,976,0
1776421015,45.6,2169,40.2,976,0
1776421018,45.6,2169,40.2,976,0
1776421022,45.6,2169,40.2,976,0
1776421025,45.6,2169,40.2,976,0
1776421029,45.6,2169,40.2,976,0
1776421034,45.6,2169,40.2,977,0
1776421039,45.6,2169,40.2,977,0
1776421042,45.6,2169,40.2,977,0
1776421046,45.6,2169,40.2,977,0
1776421052,45.6,2169,40.2,977,0
1776421055,45.6,2169,40.2,977,0
1776421061,45.6,2169,40.2,977,0
1776421067,45.6,2169,40.2,977,0
1776421071,45.6,2169,40.2,977,0
1776421079,45.6,2169,40.2,977,0
1776421082,45.6,2169,40.2,977,0
1776421085,45.6,2169,40.2,977,0
1776421088,45.9,2184,40.4,981,0
1776421093,46.0,2189,40.4,982,0
1776421096,46.1,2194,40.5,983,0
1776421099,46.1,2194,40.5,983,0
1776421102,46.1,2194,40.5,983,0
1776421111,46.1,2194,40.5,983,0
1776421114,46.1,2194,40.5,983,0
1776421119,46.1,2194,40.5,983,0
1776421127,46.1,2194,40.5,983,0
1776421130,46.1,2194,40.5,983,0
1776421137,46.1,2194,40.5,983,0
1776421141,46.1,2194,40.5,983,0
1776421144,46.1,2194,40.5,983,0
1776421156,46.1,2194,40.5,983,0
1776421160,46.1,2194,40.5,983,0
1776421164,46.1,2194,40.5,983,0
1776421168,46.1,2194,40.5,983,0
1776421172,46.1,2194,40.5,983,0
1776421183,46.1,2194,40.5,983,0
1776421188,46.1,2194,40.5,983,0
1776421199,46.1,2194,40.5,983,0
1776421203,46.1,2194,40.5,983,0
1776421206,46.1,2194,40.5,983,0
1776421210,46.1,2194,40.5,983,0
1776421213,46.1,2194,40.5,983,0
1776421216,46.1,2194,40.5,983,0
1776421220,46.1,2194,40.5,983,0
1776421229,46.1,2194,40.5,983,0
1776421232,46.1,2194,40.5,983,0
1776421244,46.1,2194,40.5,983,0
1776421251,46.1,2194,40.5,983,0
1776421255,46.1,2194,40.5,983,0
1776421258,46.1,2194,40.5,983,0
1776421262,46.1,2194,40.5,983,0
1776421269,46.1,2194,40.5,983,0
1776421275,46.1,2194,40.5,983,0
1776421278,46.1,2194,40.5,983,0
1776421282,46.1,2194,40.5,983,0
1776421287,46.1,2194,40.5,983,0
1776421290,46.1,2194,40.5,983,0
1776421299,46.1,2194,40.5,983,0
1776421302,46.1,2194,40.5,983,0
1776421307,46.1,2194,40.5,983,0
1776421310,46.1,2194,40.5,983,0
1776421335,46.1,2194,40.5,983,0
1776421340,46.1,2194,40.5,983,0
1776421343,46.1,2194,40.5,983,0
1776421355,46.1,2194,40.5,983,0
1776421370,46.1,2194,40.5,983,0
1776421381,46.1,2194,40.5,983,0
1776421385,46.1,2194,40.5,983,0
1776421390,46.1,2194,40.5,983,0
1776421393,46.1,2194,40.5,983,0
1776421398,46.1,2194,40.5,983,0
1776421402,46.1,2194,40.5,983,0
1776421406,46.1,2194,40.5,983,0
1776421423,46.1,2194,40.5,983,0
1776421426,46.1,2194,40.5,983,0
1776421435,46.1,2194,40.5,983,0
1776421439,46.1,2194,40.5,983,0
1776421451,46.1,2194,40.5,983,0
1776421522,46.1,2194,40.5,983,0
1776421525,46.1,2194,40.5,983,0
1776421530,46.1,2194,40.5,983,0
1776421552,46.1,2194,40.5,983,0
1776421557,46.2,2200,40.5,984,0
1776421561,46.2,2200,40.5,984,0
1776421565,46.2,2200,40.5,984,0
1776421568,46.2,2200,40.5,984,0
1776421571,46.2,2200,40.5,984,0
1776421575,46.2,2200,40.5,984,0
1776421584,46.2,2200,40.5,984,0
1776421588,46.2,2200,40.5,984,0
1776421592,46.2,2200,40.5,984,0
1776421595,46.2,2200,40.5,984,0
1776421603,46.2,2200,40.5,984,0
1776421614,46.2,2200,40.5,984,0
1776421629,46.2,2200,40.5,984,0
1776421632,46.2,2200,40.5,984,0
1776421639,46.2,2200,40.5,984,0
1776421649,46.2,2200,40.5,984,0
1776421655,46.2,2200,40.5,984,0
1776421668,46.2,2200,40.5,984,0
1776421673,46.2,2200,40.5,984,0
1776421682,46.2,2200,40.5,984,0
1776421692,46.2,2200,40.5,984,0
1776421700,46.4,2206,40.6,986,0
1776421747,46.4,2206,40.6,986,0
1776421750,46.4,2206,40.6,986,0
1776421756,46.4,2206,40.6,986,0
1776421762,46.4,2206,40.6,986,0
1776421775,46.4,2206,40.6,986,0
1776421782,46.4,2206,40.6,986,0
1776421789,46.4,2206,40.6,986,0
1776421811,46.4,2206,40.6,986,0
1776421815,46.4,2206,40.6,986,0
1776421833,46.4,2206,40.6,986,0
1776421838,46.4,2206,40.6,986,0
1776421841,46.4,2206,40.6,986,0
1776421866,46.4,2206,40.6,986,0
1776421883,46.4,2206,40.6,986,0
1776421896,46.4,2206,40.6,986,0
1776421948,46.4,2206,40.6,986,0
1776421953,46.4,2206,40.6,986,0
1776421974,46.4,2206,40.6,986,0
1776422034,46.4,2206,40.6,986,0
1776422039,46.4,2206,40.6,986,0
1776422051,46.4,2206,40.6,986,0
1776422054,46.4,2206,40.6,986,0
1776422057,46.4,2206,40.6,986,0
1776422066,46.4,2206,40.6,986,0
1776422071,46.4,2206,40.6,986,0
1776422074,46.4,2206,40.6,986,0
1776422080,46.4,2206,40.6,986,0
1776422097,46.4,2206,40.6,986,0
1776422101,46.4,2206,40.6,986,0
1776422127,46.4,2206,40.6,986,0
1776422138,46.4,2206,40.6,986,0
1776422141,46.4,2206,40.6,986,0
1776422173,46.4,2206,40.6,986,0
1776422178,46.4,2206,40.6,986,0
1776422181,46.4,2206,40.6,986,0
1776422187,46.4,2206,40.6,986,0
1776422192,46.4,2206,40.6,986,0
1776422196,46.4,2206,40.6,986,0
1776422199,46.4,2206,40.6,986,0
1776422204,46.4,2206,40.6,986,0
1776422210,46.4,2206,40.6,986,0
1776422241,46.4,2206,40.6,986,0
1776422257,46.4,2206,40.6,986,0
1776422276,46.4,2206,40.6,986,0
1776422292,46.4,2206,40.6,986,0
1776422297,46.4,2206,40.6,986,0
1776422307,46.4,2206,40.6,986,0
1776422312,46.4,2206,40.6,986,0
1776422316,46.4,2206,40.6,986,0
1776422319,46.4,2206,40.6,986,0
1776422324,46.4,2206,40.6,986,0
1776422328,46.4,2206,40.6,986,0
1776422334,46.4,2206,40.6,986,0
1776422337,46.4,2206,40.6,986,0
1776422351,46.4,2206,40.6,986,0
1776422366,46.4,2206,40.6,986,0
1776422372,46.4,2206,40.6,986,0
1776422377,46.4,2206,40.6,986,0
1776422382,46.4,2206,40.6,986,0
1776422386,46.4,2206,40.6,986,0
1776422390,46.4,2206,40.6,986,0
1776422398,46.4,2206,40.6,986,0
1776422406,46.4,2206,40.6,986,0
1776422410,46.4,2206,40.6,986,0
1776422415,46.4,2206,40.6,986,0
1776422424,46.4,2206,40.6,986,0
1776422427,46.4,2206,40.6,986,0
1776422430,46.4,2206,40.6,986,0
1776422437,46.4,2206,40.6,986,0
1776422454,46.4,2206,40.6,986,0
1776422470,46.4,2206,40.6,986,0
1776422498,46.4,2206,40.6,986,0
1776422502,46.4,2206,40.6,986,0
1776422511,46.4,2206,40.6,986,0
1776422517,46.4,2206,40.6,986,0
1776422538,46.4,2206,40.6,986,0
1776422550,46.4,2206,40.6,986,0
1776422580,46.4,2206,40.6,986,0
1776422585,46.4,2206,40.6,986,0
1776422618,46.4,2206,40.6,986,0
1776422624,46.4,2206,40.6,986,0
1776422628,46.4,2206,40.6,986,0
1776422632,46.4,2206,40.6,986,0
1776422638,46.4,2206,40.6,986,0
1776422641,46.4,2206,40.6,986,0
1776422647,46.4,2206,40.6,986,0
1776422653,46.4,2206,40.6,986,0
1776422661,46.4,2206,40.6,986,0
1776422673,46.4,2206,40.6,986,0
1776422679,46.4,2206,40.6,986,0
1776422692,46.4,2206,40.6,986,0
1776422699,46.4,2206,40.6,986,0
1776422702,46.4,2206,40.6,986,0
1776422725,46.4,2206,40.6,986,0
1776422762,46.4,2206,40.6,986,0
1776422767,46.4,2206,40.6,986,0
1776422772,46.4,2206,40.6,986,0
1776422784,46.4,2206,40.6,986,0
1776422802,46.4,2206,40.6,986,0
1776422807,46.4,2206,40.6,986,0
1776422811,46.4,2206,40.6,986,0
1776422814,46.4,2206,40.6,986,0
1776422817,46.4,2206,40.6,986,0
1776422837,46.4,2206,40.6,986,0
1776422841,46.4,2206,40.6,986,0
1776422847,46.4,2206,40.6,986,0
1776422854,46.4,2206,40.6,986,0
1776422865,46.4,2206,40.6,986,0
1776422873,46.4,2206,40.6,986,0
1776422877,46.4,2206,40.6,986,0
1776422890,46.4,2206,40.6,986,0
1776422893,46.4,2206,40.6,986,0
1776422906,46.4,2206,40.6,986,0
1776422914,46.4,2206,40.6,986,0
1776422947,46.4,2206,40.6,986,0
1776422957,46.4,2206,40.6,986,0
1776422957,46.4,2206,40.6,986,0
